# Fuente: Qhawarina (qhawarina.pe) | CC BY 4.0 | Generado: 2026-04-21
month,irp_7d_peak,irp_peak_date,irp_event,ire_7d_peak,ire_peak_date,ire_event
2025-01,106.4,2025-01-13,,139.7,2025-01-10,
2025-02,105.6,2025-02-20,,124.7,2025-02-06,
2025-03,151.0,2025-03-24,Cerrón Desaparece,123.0,2025-03-29,
2025-04,112.3,2025-04-25,,122.5,2025-04-01,
2025-05,129.2,2025-05-05,Asilo Nadine Heredia,139.7,2025-05-19,Pataz + Telefónica + Petroperú
2025-06,157.6,2025-06-26,Vizcarra Prisión Preventiva,168.9,2025-06-17,Paro Transportistas
2025-07,172.8,2025-07-28,Fragmentación Izquierda Peruana,180.9,2025-07-11,AFP reform + Cobre 50% + Huelgas
2025-08,155.8,2025-08-13,Prisión Vizcarra,159.1,2025-08-21,Paro Parcial Lima
2025-09,107.2,2025-09-08,Pericia audios Santiváñez,259.9,2025-09-17,Pensiones en Riesgo
2025-10,231.7,2025-10-10,Vacancia Boluarte,301.7,2025-10-06,Paro Transportistas
2025-11,129.7,2025-11-27,Castillo Condenado,170.5,2025-11-03,Minería ilegal lava $22B
2025-12,111.2,2025-12-04,,93.0,2025-12-29,
2026-01,216.5,2026-01-21,Censura Jerí,133.4,2026-01-13,
2026-02,309.2,2026-02-18,Censura Jerí,111.3,2026-02-27,
2026-03,194.5,2026-03-25,Violencia Electoral Perú,358.9,2026-03-03,Crisis Energética Perú
