# Fuente: Qhawarina (qhawarina.pe) | CC BY 4.0 | Generado: 2026-03-17
quarter,official,nowcast,nowcast_full,error
2004-Q1,4.57,,,
2004-Q2,3.74,,,
2004-Q3,4.28,,,
2004-Q4,7.28,,,
2005-Q1,5.63,,,
2005-Q2,5.43,,,
2005-Q3,6.47,,,
2005-Q4,7.6,,,
2006-Q1,8.28,,,
2006-Q2,6.33,,,
2006-Q3,8.29,,,
2006-Q4,7.32,,,
2007-Q1,5.29,,,
2007-Q2,6.33,,,
2007-Q3,10.84,,,
2007-Q4,11.42,,,
2008-Q1,10.15,,,
2008-Q2,10.53,,,
2008-Q3,9.58,,,
2008-Q4,6.48,,,
2009-Q1,2.59,,,
2009-Q2,-0.73,,,
2009-Q3,-0.1,,,
2009-Q4,2.73,,,
2010-Q1,5.65,4.85,4.85,-0.8
2010-Q2,9.47,6.32,6.32,-3.15
2010-Q3,9.51,7.25,7.25,-2.26
2010-Q4,8.5,7.57,7.57,-0.94
2011-Q1,8.41,7.63,7.63,-0.78
2011-Q2,5.29,7.13,7.13,1.85
2011-Q3,5.81,6.9,6.9,1.09
2011-Q4,6.01,6.03,6.03,0.02
2012-Q1,6.11,6.26,6.26,0.14
2012-Q2,5.89,5.68,5.68,-0.22
2012-Q3,7.02,6.26,6.26,-0.76
2012-Q4,5.56,6.57,6.57,1.01
2013-Q1,4.98,6.52,6.52,1.54
2013-Q2,6.26,6.29,6.29,0.03
2013-Q3,5.23,5.07,5.07,-0.15
2013-Q4,6.84,5.45,5.45,-1.39
2014-Q1,4.96,5.65,5.65,0.7
2014-Q2,1.96,6.03,6.03,4.07
2014-Q3,1.82,4.98,4.98,3.15
2014-Q4,1.07,4.33,4.33,3.26
2015-Q1,1.93,3.93,3.93,2.0
2015-Q2,3.18,3.9,3.9,0.73
2015-Q3,3.16,3.65,3.65,0.49
2015-Q4,4.62,2.77,2.77,-1.84
2016-Q1,4.48,4.14,4.14,-0.34
2016-Q2,3.74,4.39,4.39,0.66
2016-Q3,4.61,4.55,4.55,-0.06
2016-Q4,3.07,3.37,3.37,0.3
2017-Q1,2.28,2.51,2.51,0.22
2017-Q2,2.65,1.28,1.28,-1.36
2017-Q3,2.81,2.3,2.3,-0.52
2017-Q4,2.32,1.88,1.88,-0.44
2018-Q1,3.17,2.12,2.12,-1.05
2018-Q2,5.6,3.14,3.14,-2.45
2018-Q3,2.44,2.48,2.48,0.05
2018-Q4,4.62,2.5,2.5,-2.11
2019-Q1,2.4,3.1,3.1,0.7
2019-Q2,1.15,3.22,3.22,2.07
2019-Q3,3.39,3.58,3.58,0.19
2019-Q4,2.06,2.61,2.61,0.55
2020-Q1,-3.57,,2.77,
2020-Q2,-30.05,,2.77,
2020-Q3,-8.69,,2.77,
2020-Q4,-1.38,,2.77,
2021-Q1,4.23,,2.77,
2021-Q2,42.09,,2.77,
2021-Q3,11.76,,2.77,
2021-Q4,3.46,,2.77,
2022-Q1,3.92,4.17,4.17,0.25
2022-Q2,3.42,4.06,4.06,0.64
2022-Q3,2.06,2.93,2.93,0.87
2022-Q4,2.03,2.46,2.46,0.43
2023-Q1,0.04,2.26,2.26,2.22
2023-Q2,-0.36,2.04,2.04,2.4
2023-Q3,-0.63,0.94,0.94,1.57
2023-Q4,-0.43,1.42,1.42,1.85
2024-Q1,1.49,1.63,1.63,0.14
2024-Q2,3.86,1.72,1.72,-2.13
2024-Q3,4.1,2.48,2.48,-1.62
2024-Q4,4.44,3.42,3.42,-1.03
2025-Q1,4.03,4.85,4.85,0.82
2025-Q2,2.84,4.22,4.22,1.38
2025-Q3,3.77,3.43,3.43,-0.34
2025-Q4,3.17,,,
