# Fuente: Qhawarina (qhawarina.pe) | CC BY 4.0 | Generado: 2026-03-13
code,name,poverty_rate_2024,poverty_rate_2025_proyeccion,lower_bound,upper_bound,change_pp
16,Loreto,43.0,40.8,35.8,45.8,-2.2
21,Puno,39.9,39.2,34.2,44.2,-0.8
19,Pasco,39.0,38.7,33.7,43.7,-0.2
06,Cajamarca,45.0,37.4,32.4,42.4,-7.6
10,Huánuco,39.0,34.9,29.9,39.9,-4.0
09,Huancavelica,33.4,32.0,27.0,37.0,-1.4
05,Ayacucho,32.8,31.4,26.4,36.4,-1.4
20,Piura,31.9,31.0,26.0,36.0,-0.8
13,La Libertad,30.2,30.1,25.1,35.1,-0.1
24,Tumbes,26.9,26.4,21.4,31.4,-0.5
07,Callao,27.9,25.9,20.9,30.9,-2.0
15,Lima,27.7,25.9,20.9,30.9,-1.8
25,Ucayali,27.1,25.8,20.8,30.8,-1.2
01,Amazonas,25.7,23.8,18.8,28.8,-2.0
02,Áncash,22.8,22.9,17.9,27.9,0.1
23,Tacna,24.0,22.6,17.6,27.6,-1.4
03,Apurímac,24.0,21.9,16.9,26.9,-2.1
22,San Martín,22.0,20.8,15.8,25.8,-1.2
08,Cusco,18.5,18.7,13.7,23.7,0.2
12,Junín,18.5,16.9,11.9,21.9,-1.6
04,Arequipa,15.8,14.7,9.7,19.7,-1.1
14,Lambayeque,14.0,12.8,7.8,17.8,-1.3
18,Moquegua,11.0,9.3,4.3,14.3,-1.7
17,Madre de Dios,11.1,9.2,4.2,14.2,-2.0
11,Ica,6.0,5.6,0.6,10.6,-0.5
