# Fuente: Qhawarina (qhawarina.pe) | CC BY 4.0 | Generado: 2026-04-08
date,fx,spot_net_purchases,swaps_net,total_intervention,reference_rate,bond_sol_10y,bond_usd_10y,bvl
2024-04-09,3.6922,0.0,0.0,0.0,6.25,7.28,5.566,27551.0
2024-04-10,3.7098,0.0,0.0,0.0,6.25,7.38,5.745,27799.0
2024-04-11,3.7055,0.0,0.0,0.0,6.25,7.45,5.83,27948.0
2024-04-12,3.7028,0.0,0.0,0.0,6.0,7.35,5.815,27596.0
2024-04-15,3.7258,0.0,0.0,0.0,6.0,7.46,5.96,27455.0
2024-04-16,3.7562,0.0,0.0,0.0,6.0,7.6,6.031,27394.0
2024-04-17,3.7445,0.0,0.0,0.0,6.0,7.58,5.972,27459.0
2024-04-18,3.7375,0.0,0.0,0.0,6.0,7.59,6.017,27686.0
2024-04-19,3.6997,0.0,0.0,0.0,6.0,7.5,5.987,27599.0
2024-04-20,3.6997,,,0.0,6.0,7.5,5.987,27599.0
2024-04-22,3.6945,0.0,0.0,0.0,6.0,7.34,5.993,27753.0
2024-04-23,3.7017,0.0,0.0,0.0,6.0,7.3,5.957,27902.0
2024-04-24,3.7248,0.0,0.0,0.0,6.0,7.34,6.013,28123.0
2024-04-25,3.7477,0.0,0.0,0.0,6.0,7.36,6.084,28602.0
2024-04-26,3.7527,0.0,0.0,0.0,6.0,7.37,6.042,28902.0
2024-04-29,3.7298,0.0,0.0,0.0,6.0,7.355,5.958,29224.0
2024-04-30,3.754,0.0,0.0,0.0,6.0,7.29,6.046,29184.0
2024-05-02,3.7483,0.0,0.0,0.0,6.0,7.22,5.91,29041.0
2024-05-03,3.7188,0.0,0.0,0.0,6.0,7.1,5.771,28984.0
2024-05-06,3.7255,0.0,0.0,0.0,6.0,7.1,5.741,29275.0
2024-05-07,3.7268,0.0,0.0,0.0,6.0,7.05,5.687,29174.0
2024-05-08,3.7222,0.0,0.0,0.0,6.0,7.13,5.754,29356.0
2024-05-09,3.7058,0.0,0.0,0.0,6.0,7.13,5.721,29599.0
2024-05-10,3.7072,0.0,0.0,0.0,5.75,7.12,5.779,30024.0
2024-05-13,3.7203,0.0,0.0,0.0,5.75,7.09,5.758,29659.0
2024-05-14,3.7245,0.0,0.0,0.0,5.75,7.113,5.729,29847.0
2024-05-15,3.7178,0.0,0.0,0.0,5.75,7.06,5.598,29997.0
2024-05-16,3.7278,0.0,0.0,0.0,5.75,7.06,5.621,29967.0
2024-05-17,3.7403,-13.0,0.0,-13.0,5.75,7.06,5.683,30130.0
2024-05-20,3.7357,-65.0,0.0,-65.0,5.75,7.066,5.672,30708.0
2024-05-21,3.7322,0.0,0.0,0.0,5.75,7.05,5.654,30892.0
2024-05-22,3.7415,0.0,0.0,0.0,5.75,7.09,5.721,30072.0
2024-05-23,3.7423,0.0,0.0,0.0,5.75,7.12,5.808,30027.0
2024-05-24,3.7377,0.0,0.0,0.0,5.75,7.09,5.817,30263.0
2024-05-27,3.7428,0.0,0.0,0.0,5.75,7.04,5.817,30369.0
2024-05-28,3.7472,0.0,0.0,0.0,5.75,7.11,5.881,30742.0
2024-05-29,3.7598,0.0,0.0,0.0,5.75,7.11,5.963,30489.0
2024-05-30,3.7598,0.0,0.0,0.0,5.75,7.13,5.86,30406.0
2024-05-31,3.7353,0.0,0.0,0.0,5.75,7.06,5.791,30220.0
2024-06-03,3.7308,0.0,0.0,0.0,5.75,7.0,5.705,30049.0
2024-06-04,3.7405,0.0,0.0,0.0,5.75,7.0,5.648,29511.0
2024-06-05,3.7463,0.0,0.0,0.0,5.75,7.01,5.592,29741.0
2024-06-06,3.753,0.0,0.0,0.0,5.75,6.99,5.617,29826.0
2024-06-10,3.78,0.0,0.0,0.0,5.75,7.06,5.799,29538.0
2024-06-11,3.7838,0.0,0.0,0.0,5.75,7.06,5.774,29373.0
2024-06-12,3.7717,0.0,0.0,0.0,5.75,7.04,5.668,29674.0
2024-06-13,3.7732,0.0,0.0,0.0,5.75,7.04,5.628,29326.0
2024-06-14,3.774,0.0,0.0,0.0,5.75,7.06,5.637,29200.0
2024-06-17,3.7925,0.0,0.0,0.0,5.75,7.09,5.709,29432.0
2024-06-18,3.7902,-5.0,0.0,-5.0,5.75,7.17,5.584,29798.0
2024-06-19,3.8182,0.0,0.0,0.0,5.75,7.19,5.546,29724.0
2024-06-20,3.8095,0.0,0.0,0.0,5.75,7.18,5.602,29858.0
2024-06-21,3.8023,0.0,0.0,0.0,5.75,7.17,5.588,22521.0
2024-06-24,3.8025,0.0,0.0,0.0,5.75,7.16,5.554,30059.0
2024-06-25,3.8138,0.0,0.0,0.0,5.75,7.15,5.532,29896.0
2024-06-26,3.8228,0.0,0.0,0.0,5.75,7.16,5.6,29849.0
2024-06-27,3.8238,0.0,0.0,0.0,5.75,7.09,5.572,29636.0
2024-06-28,3.836,0.0,0.0,0.0,5.75,7.06,5.64,29896.0
2024-07-01,3.8458,0.0,0.0,0.0,5.75,7.1,5.792,29720.0
2024-07-02,3.8275,0.0,0.0,0.0,5.75,7.11,5.739,29601.0
2024-07-03,3.7997,0.0,0.0,0.0,5.75,7.07,5.652,30046.0
