conglome,stratum_baseline,stratum_modal,n_windows,n_distinct_estrato,modal_share,tie
017254,0,0,14,1,1.0,False
017261,0,0,13,1,1.0,False
017266,0,0,14,1,1.0,False
017274,0,0,14,1,1.0,False
017279,0,0,13,1,1.0,False
017292,0,0,13,1,1.0,False
017295,0,0,14,1,1.0,False
017297,0,0,14,1,1.0,False
017302,0,0,14,1,1.0,False
017315,0,0,13,1,1.0,False
017319,0,0,14,1,1.0,False
017325,0,0,14,1,1.0,False
017331,0,0,14,1,1.0,False
017333,0,0,14,1,1.0,False
017341,0,0,14,1,1.0,False
017342,0,0,14,1,1.0,False
017353,0,0,11,1,1.0,False
017361,0,0,14,1,1.0,False
017363,0,0,14,1,1.0,False
017368,0,0,14,1,1.0,False
017379,0,0,14,1,1.0,False
017383,0,0,14,1,1.0,False
017387,0,0,13,1,1.0,False
017395,0,0,13,1,1.0,False
017402,0,0,11,1,1.0,False
017403,0,0,14,1,1.0,False
017405,0,0,14,1,1.0,False
017417,0,0,14,1,1.0,False
017423,0,0,14,1,1.0,False
017427,0,0,14,1,1.0,False
017435,0,0,14,1,1.0,False
017452,0,0,14,1,1.0,False
017454,0,0,14,1,1.0,False
017470,0,0,14,1,1.0,False
017472,0,0,13,1,1.0,False
017478,0,0,14,1,1.0,False
017480,0,0,14,1,1.0,False
017487,0,0,13,1,1.0,False
017490,0,0,14,1,1.0,False
017492,0,0,14,1,1.0,False
017503,0,0,14,1,1.0,False
017506,0,0,14,1,1.0,False
017511,0,0,14,1,1.0,False
017518,0,0,14,1,1.0,False
017522,0,0,11,1,1.0,False
017538,0,0,14,1,1.0,False
017544,0,0,13,1,1.0,False
017549,0,0,14,1,1.0,False
017555,0,0,14,1,1.0,False
017566,0,0,14,1,1.0,False
017571,0,0,14,1,1.0,False
017572,0,0,14,1,1.0,False
017582,0,0,14,1,1.0,False
017588,0,0,14,1,1.0,False
017591,0,0,14,1,1.0,False
017593,0,0,14,1,1.0,False
017596,0,0,14,1,1.0,False
017605,0,0,14,1,1.0,False
017607,0,0,14,1,1.0,False
017610,0,0,14,1,1.0,False
017613,0,0,14,1,1.0,False
017620,0,0,14,1,1.0,False
017627,0,0,14,1,1.0,False
017632,0,0,14,1,1.0,False
017638,0,0,10,1,1.0,False
017642,0,0,14,1,1.0,False
017646,0,0,14,1,1.0,False
017647,0,0,14,1,1.0,False
017652,0,0,14,1,1.0,False
017653,0,0,14,1,1.0,False
017663,0,0,14,1,1.0,False
017685,0,0,14,1,1.0,False
017693,0,0,14,1,1.0,False
017695,0,0,11,1,1.0,False
017700,0,0,14,1,1.0,False
017705,0,0,14,1,1.0,False
017712,0,0,14,1,1.0,False
017713,0,0,10,1,1.0,False
017719,0,0,14,1,1.0,False
017721,0,0,14,1,1.0,False
017730,0,0,13,1,1.0,False
017739,0,0,14,1,1.0,False
017743,0,0,14,1,1.0,False
017750,0,0,10,1,1.0,False
017758,0,0,14,1,1.0,False
017760,0,0,14,1,1.0,False
017768,0,0,13,1,1.0,False
017770,0,0,10,1,1.0,False
017773,0,0,14,1,1.0,False
017778,0,0,14,1,1.0,False
017785,0,0,14,1,1.0,False
017789,0,0,14,1,1.0,False
017790,0,0,14,1,1.0,False
017796,0,0,14,1,1.0,False
017799,0,0,14,1,1.0,False
017804,0,0,14,1,1.0,False
017812,0,0,13,1,1.0,False
017822,0,0,14,1,1.0,False
017829,0,0,14,1,1.0,False
017831,0,0,11,1,1.0,False
017833,0,0,13,1,1.0,False
017844,0,0,14,1,1.0,False
017845,0,0,14,1,1.0,False
017848,0,0,14,1,1.0,False
017851,0,0,14,1,1.0,False
017862,0,0,14,1,1.0,False
017866,0,0,14,1,1.0,False
017867,0,0,14,1,1.0,False
017875,0,0,14,1,1.0,False
017883,0,0,14,1,1.0,False
017887,0,0,14,1,1.0,False
017889,0,0,14,1,1.0,False
017890,0,0,14,1,1.0,False
017898,0,0,14,1,1.0,False
017908,0,0,14,1,1.0,False
017913,0,0,14,1,1.0,False
017918,0,0,13,1,1.0,False
017919,0,0,14,1,1.0,False
017920,0,0,14,1,1.0,False
017922,0,0,14,1,1.0,False
017926,0,0,14,1,1.0,False
017927,0,0,14,1,1.0,False
017934,0,0,11,1,1.0,False
017938,0,0,7,1,1.0,False
017942,0,0,14,1,1.0,False
017947,0,0,14,1,1.0,False
017953,0,0,14,1,1.0,False
017955,0,0,14,1,1.0,False
017960,0,0,14,1,1.0,False
017969,0,0,13,1,1.0,False
017972,0,0,14,1,1.0,False
017981,0,0,14,1,1.0,False
017987,0,0,14,1,1.0,False
017992,0,0,14,1,1.0,False
017993,0,0,11,1,1.0,False
017996,0,0,14,1,1.0,False
017999,0,0,14,1,1.0,False
018005,0,0,14,1,1.0,False
018011,0,0,14,1,1.0,False
018023,0,0,14,1,1.0,False
018027,0,0,14,1,1.0,False
018032,0,0,14,1,1.0,False
018036,0,0,14,1,1.0,False
018041,0,0,13,1,1.0,False
018046,0,0,14,1,1.0,False
018047,0,0,14,1,1.0,False
018051,0,0,14,1,1.0,False
018077,0,0,13,1,1.0,False
018080,0,0,14,1,1.0,False
018086,0,0,10,1,1.0,False
018101,0,0,14,1,1.0,False
018103,0,0,14,1,1.0,False
018114,0,0,13,1,1.0,False
018117,0,0,14,1,1.0,False
018124,0,0,14,1,1.0,False
018125,0,0,14,1,1.0,False
018131,0,0,14,1,1.0,False
018141,0,0,14,1,1.0,False
018145,0,0,13,1,1.0,False
018148,0,0,14,1,1.0,False
018156,0,0,14,1,1.0,False
018158,0,0,14,1,1.0,False
018166,0,0,14,1,1.0,False
