dir,seq,ym_last,n,p209t_n,p209t_p50,p209t_mean,p209t_p25,p209t_p75,p209t_at40,p209t_at48,p209t_max,p222_codes,p222_share,p222_has6,p222_share6,n_conglome,conglome_min,conglome_max,conglome_multi_estrato
401_trim_ene_feb_mar14,401,2014-03,17563,8245,48.0,46.65057610673135,36.0,60.0,0.08720436628259551,0.1154639175257732,112.0,"[1, 2, 3, 4, 5]","{1: 0.3870818560197318, 5: 0.3557114228456914, 4: 0.2073377524279328, 3: 0.027593648836133806, 2: 0.022275319870510252}",False,0.0,1200,017254,029918,0.0
405_trim_feb_mar_abr14,405,2014-04,17551,8374,48.0,46.64497253403391,36.0,60.0,0.09063768808215907,0.12252209219011226,112.0,"[1, 2, 3, 4, 5]","{1: 0.3972686819088538, 5: 0.3460948289090072, 4: 0.20438852232622373, 3: 0.030842412152831056, 2: 0.02140555470308424}",False,0.0,1200,017254,029918,0.0
414_trim_mar_abr_may14,414,2014-05,17579,8325,48.0,46.08852852852853,36.0,58.0,0.09153153153153153,0.12,112.0,"[1, 2, 3, 4, 5]","{1: 0.39448691220755155, 5: 0.33842946490618486, 4: 0.21434638251872443, 3: 0.03173500115821172, 2: 0.021002239209327464}",False,0.0,1200,017254,029918,0.0
419_trim_may_jun_jul14,419,2014-07,17381,8152,48.0,46.546614327772325,36.0,59.0,0.09739941118743867,0.12389597644749754,112.0,"[1, 2, 3, 4, 5]","{1: 0.38788973533338567, 5: 0.3420246603314223, 4: 0.21723081756066911, 3: 0.031178826670855257, 2: 0.021675960103667635}",False,0.0,1199,017260,029905,0.0
420_trim_abr_may_jun14,420,2014-06,17403,8246,48.0,46.05881639582828,36.0,58.0,0.09422750424448217,0.12248362842590346,112.0,"[1, 2, 3, 4, 5]","{1: 0.39195823268136837, 5: 0.34021662900335076, 4: 0.2160056105353386, 3: 0.0310917166679654, 2: 0.020727811111976933}",False,0.0,1200,017254,029918,0.0
423_trim_jun_jul_ago14,423,2014-08,17360,8090,48.0,46.31742892459827,36.0,58.0,0.09678615574783683,0.126946847960445,112.0,"[1, 2, 3, 4, 5]","{1: 0.3862367282736925, 5: 0.34109319701140384, 4: 0.21753834054266613, 3: 0.03318914667715297, 2: 0.021942587495084546}",False,0.0,1199,017260,029892,0.0
427_trim_jul_ago_set14,427,2014-09,17411,8026,48.0,46.524420632942935,36.0,58.0,0.0988038873660603,0.12471966110142038,112.0,"[1, 2, 3, 4, 5]","{1: 0.3913761901015029, 5: 0.33204815485089306, 4: 0.22055236446612636, 3: 0.03170981194429145, 2: 0.024313478637186248}",False,0.0,1199,017260,029892,0.0
429_trim_ago_set_oct14,429,2014-10,17318,8087,48.0,46.55731420798813,36.0,58.0,0.09397798936564856,0.12439718066031903,112.0,"[1, 2, 3, 4, 5]","{1: 0.3853080568720379, 5: 0.3282780410742496, 4: 0.2296998420221169, 3: 0.0315955766192733, 2: 0.025118483412322274}",False,0.0,1200,017260,029910,0.0
431_trim_set_oct_nov14,431,2014-11,17292,8217,48.0,47.0460021905805,40.0,59.0,0.09662894000243398,0.12814895947426067,112.0,"[1, 2, 3, 4, 5]","{1: 0.38701828741857, 5: 0.3203045286869163, 4: 0.2349894042853779, 3: 0.032415038066085866, 2: 0.025272741543049995}",False,0.0,1200,017260,029910,0.0
434_trim_oct_nov_dic14,434,2014-12,17222,8274,48.0,46.94996374184191,37.25,60.0,0.09499637418419145,0.12738699540729997,112.0,"[1, 2, 3, 4, 5]","{1: 0.39021526418786695, 5: 0.3134246575342466, 4: 0.23984344422700588, 3: 0.031545988258317025, 2: 0.0249706457925636}",False,0.0,1199,017260,029910,0.0
