dir,survey,period,file,status,n_vars,concept,candidate_variables
43_epe_personas_trim_ago_set_oct_2001,EPE,2001-08,Epe-Personas Trim Ago-Set-Oct-2001.sav,ok,88,employment_indicator,ocu200
43_epe_personas_trim_ago_set_oct_2001,EPE,2001-08,Epe-Personas Trim Ago-Set-Oct-2001.sav,ok,88,age,p208a|p208b1|p208b2|p208b3
43_epe_personas_trim_ago_set_oct_2001,EPE,2001-08,Epe-Personas Trim Ago-Set-Oct-2001.sav,ok,88,sex,p207a|p207b
43_epe_personas_trim_ago_set_oct_2001,EPE,2001-08,Epe-Personas Trim Ago-Set-Oct-2001.sav,ok,88,dependent_worker,
43_epe_personas_trim_ago_set_oct_2001,EPE,2001-08,Epe-Personas Trim Ago-Set-Oct-2001.sav,ok,88,self_employment,
43_epe_personas_trim_ago_set_oct_2001,EPE,2001-08,Epe-Personas Trim Ago-Set-Oct-2001.sav,ok,88,informality,
43_epe_personas_trim_ago_set_oct_2001,EPE,2001-08,Epe-Personas Trim Ago-Set-Oct-2001.sav,ok,88,monthly_earnings,ingtot
43_epe_personas_trim_ago_set_oct_2001,EPE,2001-08,Epe-Personas Trim Ago-Set-Oct-2001.sav,ok,88,hours,
43_epe_personas_trim_ago_set_oct_2001,EPE,2001-08,Epe-Personas Trim Ago-Set-Oct-2001.sav,ok,88,weight,factor
43_epe_personas_trim_ago_set_oct_2001,EPE,2001-08,Epe-Personas Trim Ago-Set-Oct-2001.sav,ok,88,psu,conglome
43_epe_personas_trim_ago_set_oct_2001,EPE,2001-08,Epe-Personas Trim Ago-Set-Oct-2001.sav,ok,88,stratum,estrato
43_epe_personas_trim_ago_set_oct_2001,EPE,2001-08,Epe-Personas Trim Ago-Set-Oct-2001.sav,ok,88,geography,dominio
43_epe_personas_trim_ago_set_oct_2001,EPE,2001-08,Epe-Personas Trim Ago-Set-Oct-2001.sav,ok,88,month_year,
43_epe_personas_trim_ago_set_oct_2001,EPE,2001-08,Epe-Personas Trim Ago-Set-Oct-2001.sav,ok,88,industry,
43_epe_personas_trim_ago_set_oct_2001,EPE,2001-08,Epe-Personas Trim Ago-Set-Oct-2001.sav,ok,88,occupation,
43_epe_personas_trim_ago_set_oct_2001,EPE,2001-08,Epe-Personas Trim Ago-Set-Oct-2001.sav,ok,88,household_id,vivienda|hogar
