dir,survey,file,status,n_vars,month_var,year_var,n_months,first_month,last_month,middle_month,weight_candidates,id_candidates
1001_epen_2025_bd_publicacion_dpto,EPEN,EPEN 2025 BD_Publicacion Dpto.csv,ok,132,mes,anio,12,2025-01,2025-12,,fac300_anual,conglomerado|selviv|hogar|llave_panel
1002_01_amazonas_epen_anual_2025,EPEN,01 Amazonas EPEN Anual 2025.csv,ok,131,mes,anio,12,2025-01,2025-12,,fac300_anual,conglomerado|selviv|hogar|llave_panel
1003_02_ancash_epen_anual_2025,EPEN,02 Ancash EPEN Anual 2025.csv,ok,131,mes,anio,12,2025-01,2025-12,,fac300_anual,conglomerado|selviv|hogar|llave_panel
1004_03_apurimac_epen_anual_2025,EPEN,03 Apurimac EPEN Anual 2025.csv,ok,131,mes,anio,12,2025-01,2025-12,,fac300_anual,conglomerado|selviv|hogar|llave_panel
1005_04_arequipa_epen_anual_2025,EPEN,04 Arequipa EPEN Anual 2025.csv,ok,131,mes,anio,12,2025-01,2025-12,,fac300_anual,conglomerado|selviv|hogar|llave_panel
1006_05_ayacucho_epen_anual_2025,EPEN,05 Ayacucho EPEN Anual 2025.csv,ok,131,mes,anio,12,2025-01,2025-12,,fac300_anual,conglomerado|selviv|hogar|llave_panel
1007_06_cajamarca_epen_anual_2025,EPEN,06 Cajamarca EPEN Anual 2025.csv,ok,131,mes,anio,12,2025-01,2025-12,,fac300_anual,conglomerado|selviv|hogar|llave_panel
1008_08_cusco_epen_anual_2025,EPEN,08 Cusco EPEN Anual 2025.csv,ok,131,mes,anio,12,2025-01,2025-12,,fac300_anual,conglomerado|selviv|hogar|llave_panel
1009_09_huancavelica_epen_anual_2025,EPEN,09 Huancavelica EPEN Anual 2025.csv,ok,131,mes,anio,12,2025-01,2025-12,,fac300_anual,conglomerado|selviv|hogar|llave_panel
100_ago_set_oct,EPE,Ago_Set_Oct.sav,ok,90,pmes,,0,,,,factor,conglome|vivienda|hogar|codperso|codpanel
1010_10_huanuco_epen_anual_2025,EPEN,10 Huanuco EPEN Anual 2025.csv,ok,131,mes,anio,12,2025-01,2025-12,,fac300_anual,conglomerado|selviv|hogar|llave_panel
1011_11_ica_epen_anual_2025,EPEN,11 Ica EPEN Anual 2025.csv,ok,131,mes,anio,12,2025-01,2025-12,,fac300_anual,conglomerado|selviv|hogar|llave_panel
1012_12_junin_epen_anual_2025,EPEN,12 Junin EPEN Anual 2025.csv,ok,131,mes,anio,12,2025-01,2025-12,,fac300_anual,conglomerado|selviv|hogar|llave_panel
1013_13_la_libertad_epen_anual_2025,EPEN,13 La Libertad EPEN Anual 2025.csv,ok,131,mes,anio,12,2025-01,2025-12,,fac300_anual,conglomerado|selviv|hogar|llave_panel
1014_14_lambayeque_epen_anual_2025,EPEN,14 Lambayeque EPEN Anual 2025.csv,ok,131,mes,anio,12,2025-01,2025-12,,fac300_anual,conglomerado|selviv|hogar|llave_panel
1015_15_lima_epen_anual_2025,EPEN,15 Lima EPEN Anual 2025.csv,ok,132,mes,anio,12,2025-01,2025-12,,fac300_anual,conglomerado|selviv|hogar|llave_panel
