date,series_id,series_name,category,department,ubigeo,value_raw,value_sa,value_log,value_dlog,value_yoy,source,frequency_original
2004-10-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,5.549562078478582,3.5911394915756834,1.2784695592613489,,,BCRP,M
2004-11-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,6.297222169692189,4.75365288217371,1.55891335032221,0.28044379106086104,,BCRP,M
2004-12-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,6.917047748239024,6.422257905152085,1.8597697544922265,0.3008564041700166,,BCRP,M
2005-01-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,8.000653161707511,7.650578401273257,2.034781252989879,0.17501149849765252,,BCRP,M
2005-02-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,8.449250638899874,8.760445438743092,2.1702467528271105,0.13546549983723155,,BCRP,M
2005-03-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,9.03864435533938,9.81504146026533,2.28391605189325,0.11366929906613965,,BCRP,M
2005-04-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,9.866159735923324,11.16756870790907,2.41301392671315,0.12909787481989987,,BCRP,M
2005-05-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,9.998450370567571,12.303145251692634,2.50985494120948,0.09684101449632987,,BCRP,M
2005-06-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,10.086451857094966,12.996380630643054,2.5646709056699772,0.0548159644604973,,BCRP,M
2005-07-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,16.769137179329544,15.929336101177238,2.7681624470445265,0.20349154137454928,,BCRP,M
2005-08-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,18.579810203591904,17.364916918335464,2.8544519017524275,0.08628945470790095,,BCRP,M
2005-09-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,19.82105659843727,18.785691450674754,2.933095487008332,0.07864358525590465,,BCRP,M
2005-10-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,20.555563274608307,19.385281680751223,2.9645141018788745,0.03141861487054243,439.8086519954576,BCRP,M
2005-11-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,22.028411412550902,20.633120541623747,3.026897577962335,0.06238347608346029,334.04769033511775,BCRP,M
2005-12-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,22.835312592952423,22.13147541725024,3.0970008222992464,0.07010324433691162,244.60583402444573,BCRP,M
2006-01-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,23.90441183648086,23.510340641714564,3.157440351673491,0.06043952937424457,207.30147981754982,BCRP,M
2006-02-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,25.423007601145205,25.635158648218024,3.243964793951369,0.08652444227787814,192.62391767028726,BCRP,M
2006-03-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,26.993708857537207,27.32751354840266,3.3078940169648052,0.06392922301343607,178.42484067982647,BCRP,M
2006-04-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,27.95158028698577,28.734824972549838,3.3581098008518846,0.05021578388707937,157.30600566799583,BCRP,M
2006-05-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,29.252147051102394,30.8885847288714,3.4303866893988957,0.07227688854701109,151.0625055379382,BCRP,M
2006-06-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,31.18889503678777,33.19278157670237,3.502332429894286,0.07194574049539026,155.40019579328072,BCRP,M
2006-07-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,33.53162481157996,33.340940658593645,3.506786091039624,0.0044536611453378505,109.3052745376477,BCRP,M
2006-08-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,35.05179540670867,34.5146754845168,3.5413846099532433,0.034598518913619536,98.76095950722951,BCRP,M
2006-09-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,36.93474483524281,36.52467075283223,3.5979879432999597,0.05660333334671641,94.42814148595163,BCRP,M
2006-10-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,38.430069097201326,37.946717727004106,3.636183010694208,0.03819506739424838,95.75014875684585,BCRP,M
2006-11-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,41.267503586858965,40.056632656108086,3.6902942691936103,0.054111258499402126,94.13754005508169,BCRP,M
2006-12-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,42.38405666659614,41.43171465620099,3.724046642058895,0.03375237286528465,87.20719642535579,BCRP,M
2007-01-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,43.65816027230854,43.24325678890541,3.7668413088270367,0.04279466676814181,83.93292316734278,BCRP,M
2007-02-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,44.78012948651607,44.85261830830642,3.8033819660272576,0.03654065720022093,74.96524567607565,BCRP,M
2007-03-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,46.13896296826298,46.10299763984325,3.8308779726140374,0.027496006586779753,68.70542414400542,BCRP,M
2007-04-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,47.56874554563114,47.91585578934741,3.869446468209063,0.03856849559502562,66.75186236603518,BCRP,M
2007-05-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,47.93117469659646,48.966356739040876,3.8911334651324174,0.021686996923354407,58.52573748149838,BCRP,M
2007-06-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,49.54993419214393,50.7795233642012,3.9274931899426266,0.036359724810209215,52.98363364594534,BCRP,M
2007-07-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,50.759619883382854,51.19063593401777,3.935556623404981,0.008063433462354386,53.53686765530221,BCRP,M
2007-08-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,53.16608202885352,53.32897917574521,3.9764798827781767,0.04092325937319563,54.51102589583512,BCRP,M
2007-09-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,53.924033398442425,54.091197378488424,3.9906714624193973,0.014191579641220642,48.09496229146441,BCRP,M
2007-10-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,56.241771786237564,56.17524720736869,4.028476218726929,0.037804756307532106,48.03717046492424,BCRP,M
2007-11-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,60.06639387402949,59.00643397835915,4.077646488440812,0.0491702697138825,47.30752453641776,BCRP,M
2007-12-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,60.12905633531715,58.85275270814259,4.075038607602049,-0.002607880838763066,42.04759131139226,BCRP,M
2008-01-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,62.1767081232102,61.715582096483594,4.122536445161192,0.04749783755914283,42.71723889287979,BCRP,M
2008-02-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,64.657972341361,64.54376829276882,4.167343571854116,0.04480712669292419,43.90189631541694,BCRP,M
2008-03-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,66.71176107249465,66.39050756376238,4.195554087885792,0.02821051603167657,44.00475232089076,BCRP,M
2008-04-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,70.10862806188558,70.05813618411804,4.24932541427699,0.05377132639119786,46.21075848486311,BCRP,M
2008-05-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,70.58329731677149,71.1241133070122,4.264426425683544,0.01510101140655351,45.25098055805516,BCRP,M
2008-06-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,71.77968842469508,72.43210787897044,4.282649680075231,0.01822325439168715,42.640385494508195,BCRP,M
2008-07-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,74.44762539568055,75.53983692900934,4.3246601585450115,0.042010478469780566,47.56573258120196,BCRP,M
2008-08-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,78.37399925290444,79.25173891050675,4.372629354605079,0.04796919606006789,48.6091429752167,BCRP,M
2008-09-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,110.72030621484407,111.4731535746846,4.713783786794256,0.3411544321891764,106.08372337310557,BCRP,M
2008-10-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,95.079494639508,94.9966302183687,4.553841419585823,-0.15994236720843258,69.1076318145827,BCRP,M
2008-11-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,114.91245994003974,113.69602847178312,4.7335284702588565,0.17968705067303326,92.68412070704291,BCRP,M
2008-12-01,RD13562DM,Crédito - Amazonas (Total),credit_by_department,Amazonas,01,124.98574695402544,123.50360131409876,4.816270316080921,0.08274184582206434,109.85186865696322,BCRP,M
